Date,Time,Open,High,Low,Close,Volume
10/29/2019,11:15,43760,43760,43750,43760,904
10/29/2019,11:20,43760,43760,43740,43750,1502
10/29/2019,11:25,43750,43770,43750,43760,960
10/29/2019,11:30,43760,43760,43750,43760,804
10/29/2019,11:35,43760,43760,43760,43760,0
10/29/2019,11:40,43760,43760,43760,43760,0
10/29/2019,11:45,43760,43760,43760,43760,0
10/29/2019,11:50,43760,43760,43760,43760,0
10/29/2019,11:55,43760,43760,43760,43760,0
10/29/2019,12:00,43760,43760,43760,43760,0
10/29/2019,12:05,43760,43760,43760,43760,0
10/29/2019,12:10,43760,43760,43760,43760,0
10/29/2019,12:15,43760,43760,43760,43760,0
10/29/2019,12:20,43760,43760,43760,43760,0
10/29/2019,12:25,43760,43760,43760,43760,0
10/29/2019,12:30,43760,43760,43760,43760,0
10/29/2019,12:35,43760,43760,43760,43760,0
10/29/2019,12:40,43760,43760,43760,43760,0
10/29/2019,12:45,43760,43760,43760,43760,0
10/29/2019,12:50,43760,43760,43760,43760,0
10/29/2019,12:55,43760,43760,43760,43760,0
10/29/2019,13:00,43760,43760,43760,43760,0
10/29/2019,13:05,43760,43760,43760,43760,0
10/29/2019,13:10,43760,43760,43760,43760,0
10/29/2019,13:15,43760,43760,43760,43760,0
10/29/2019,13:20,43760,43760,43760,43760,0
10/29/2019,13:25,43760,43760,43760,43760,0
10/29/2019,13:30,43760,43760,43760,43760,0
10/29/2019,13:35,43760,43760,43710,43740,948
10/29/2019,13:40,43740,43740,43730,43730,702
10/29/2019,13:45,43740,43740,43730,43740,640
10/29/2019,13:50,43740,43740,43730,43730,324
10/29/2019,13:55,43740,43740,43730,43730,206
10/29/2019,14:00,43740,43740,43730,43730,344
10/29/2019,14:05,43740,43750,43730,43750,1276
10/29/2019,14:10,43750,43750,43730,43750,1776
10/29/2019,14:15,43740,43740,43730,43730,910
10/29/2019,14:20,43740,43750,43730,43740,1156
10/29/2019,14:25,43740,43750,43740,43750,1090
10/29/2019,14:30,43750,43760,43750,43750,482
10/29/2019,14:35,43750,43750,43740,43750,476
10/29/2019,14:40,43750,43750,43750,43750,916
10/29/2019,14:45,43750,43750,43740,43750,670
10/29/2019,14:50,43740,43750,43720,43730,1538
10/29/2019,14:55,43730,43730,43720,43720,350
10/29/2019,15:00,43730,43740,43720,43740,1120
10/30/2019,09:05,43920,43930,43880,43880,1078
10/30/2019,09:10,43890,43900,43870,43870,730
10/30/2019,09:15,43860,43890,43860,43880,482
10/30/2019,09:20,43880,43890,43870,43870,1112
10/30/2019,09:25,43860,43890,43860,43890,388
10/30/2019,09:30,43880,43900,43880,43890,330
10/30/2019,09:35,43890,43920,43890,43920,772
10/30/2019,09:40,43920,43920,43870,43870,1778
10/30/2019,09:45,43870,43880,43860,43880,726
10/30/2019,09:50,43870,43890,43870,43880,1442
10/30/2019,09:55,43870,43880,43870,43870,494
10/30/2019,10:00,43860,43860,43830,43830,900
10/30/2019,10:05,43820,43850,43820,43850,836
10/30/2019,10:10,43850,43850,43840,43840,638
10/30/2019,10:15,43850,43860,43840,43860,418
10/30/2019,10:20,43860,43860,43860,43860,0
10/30/2019,10:25,43860,43860,43860,43860,0
10/30/2019,10:30,43860,43860,43860,43860,0
10/30/2019,10:35,43860,43870,43830,43850,1478
10/30/2019,10:40,43850,43850,43830,43830,632
10/30/2019,10:45,43830,43840,43830,43830,874
10/30/2019,10:50,43830,43850,43830,43840,1402
10/30/2019,10:55,43840,43840,43830,43830,1050
10/30/2019,11:00,43830,43840,43820,43820,570
10/30/2019,11:05,43830,43840,43830,43830,974
10/30/2019,11:10,43830,43840,43820,43840,718
10/30/2019,11:15,43840,43840,43840,43840,524
10/30/2019,11:20,43840,43840,43830,43840,400
10/30/2019,11:25,43830,43830,43820,43830,586
10/30/2019,11:30,43830,43840,43830,43840,498
10/30/2019,11:35,43840,43840,43840,43840,0
10/30/2019,11:40,43840,43840,43840,43840,0
10/30/2019,11:45,43840,43840,43840,43840,0
10/30/2019,11:50,43840,43840,43840,43840,0
10/30/2019,11:55,43840,43840,43840,43840,0
10/30/2019,12:00,43840,43840,43840,43840,0
10/30/2019,12:05,43840,43840,43840,43840,0
