size,AVL-Insert-time (ns),Heap-Insert-time (ns),AVL-RemoveMin-time (ns),Heap-RemoveMin-time (ns)
756,625,8855625,232875,100000
757,791,319541,3375,1625
758,584,1334,2208,1208
759,250,1083,2000,875
760,500,1041,261416,81583
761,1125,1500,2250,2042
762,1042,708,1709,1209
763,708,5459,3875,1292
764,542,1208,1916,1458
765,458,1500,2542,1375
766,667,875,2084,1291
767,542,792,1625,792
768,500,1125,229917,77417
769,916,917,2250,1083
770,333,500,1375,1833
771,500,958,2208,1667
772,541,750,3209,1292
773,667,398750,3333,1125
774,583,2750,2375,1584
775,625,1250,1959,1291
776,750,1000,1792,1333
777,458,1875,2583,1042
778,458,3167,1792,1250
779,542,916,1667,19583
780,1375,542,3917,1292
781,500,9137959,230625,80791
782,875,315459,2584,86375
783,167167,1667,250458,1250
784,708,2417,3416,1125
785,458,1375,2416,89500
786,162083,1875,243833,1667
787,708,1334,1834,2209
788,542,315666,2583,1250
789,625,1250,2750,1084
790,667,1292,1792,1708
791,458,1125,1459,1209
792,458,791,1417,1083
793,375,584,1416,708
794,458,542,1125,80875
795,152958,1625,236625,1417
796,542,1333,1916,1292
797,459,2333,1417,791
798,458,416,1083,792
799,375,3500,2208,1125
800,375,312334,2708,1541
801,500,1417,2333,1291
802,708,2000,2166,1125
803,417,792,2291,1250
804,458,1583,2750,1000
805,500,1166,1584,1250
806,459,455917,232416,89667
807,916,1083,260458,80458
808,791,1042,1917,1667
809,666,2291,5042,2000
810,459,2041,250667,93667
811,833,1041,2000,2167
812,708,4708,1750,1167
813,375,2458,3458,1458
814,542,958,1625,2125
815,584,833,1958,1208
816,417,709,1542,1750
817,709,542,1708,1333
818,375,1250,228666,76042
819,958,959,2208,1708
820,458,375,1542,1292
821,125,333,1334,42
822,84,625,917,1750
823,458,1291,2250,1333
824,583,2167,6292,1083
825,667,1167,1833,1083
826,583,2000,3792,1334
827,583,2042,4084,1083
828,792,1209,2083,959
829,459,1500,1875,1917
830,708,1166,2667,916
831,500,9112791,233209,83750
832,959,2208,2167,2250
833,625,279917,2500,86709
834,154375,2375,239041,1500
835,458,1375,2209,1791
836,709,3958,5875,1750
837,667,1208,2084,1667
838,708,792,1667,1375
839,834,1792,247000,92917
840,833,80875,2583,1875
841,667,2792,4209,1625
842,542,306208,5583,1292
843,459,1500,4541,1583
844,291,1000,1792,1000
845,1250,709,1417,958
846,458,667,1458,542
847,458,583,1291,1167
848,583,500,959,875
849,541,625,1833,1666
850,416,1125,4834,2250
851,1333,1459,2500,93875
852,157708,18250,280500,6500
853,375,1292,4584,1709
854,584,6542,2375,1416
855,458,1167,2500,1292
856,375,323000,254458,90375
857,156791,3791,255875,95750
858,834,1959,11375,97708
859,160250,1459,242792,1625
860,750,1208,2542,1041
861,459,303583,2542,1250
862,541,1666,2083,1209
863,292,750,1625,1208
864,666,1292,1958,1000
865,584,1292,239041,82667
866,1333,1584,2125,2250
867,292,1125,1541,792
868,167,250,1458,166
869,1542,1625,4084,1625
870,666,1083,2166,1333
871,833,875,2125,1042
872,458,321791,5208,1208
873,500,1542,1750,917
874,500,875,2459,1792
875,875,1541,4334,1291
876,792,1542,2125,1083
877,667,1833,1750,1584
878,1041,834,1542,1875
879,542,2084,2125,3083
880,1166,8417,17625,99667
881,157500,337834,234625,90375
882,959,2625,2500,1375
883,708,2250,2750,1292
884,625,1541,243042,89458
885,1208,625,2083,2750
886,709,1416,1833,1833
