Time,Time Code,Country Name,Country Code,"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2006,YR2006,Switzerland,CHE,69.3601899949365,73.504,4.81757020950317
2006,YR2006,United Kingdom,GBR,69.1949466453402,80.199,4.97325992584229
2006,YR2006,United States,USA,73.7013684205001,80.099,..
2006,YR2006,Mexico,MEX,58.9662559046172,76.616,4.69992017745972
2006,YR2006,Turkiye,TUR,53.4336538998946,68.45,2.72806000709534
2007,YR2007,Australia,AUS,64.3180044185668,84.822,4.65621995925903
2007,YR2007,Austria,AUT,60.3153124870919,58.249,5.14690017700195
2007,YR2007,Belgium,BEL,66.0540499955037,97.505,..
2007,YR2007,Canada,CAN,63.0964212821521,80.396,4.7664098739624
2007,YR2007,Chile,CHL,49.5481523450583,86.9,3.21378993988037
2007,YR2007,Czechia,CZE,54.2919052641861,73.463,3.84717988967896
2007,YR2007,Denmark,DNK,61.4861661045664,86.293,7.61560010910034
2007,YR2007,Estonia,EST,57.0638095657341,68.479,4.61990976333618
2007,YR2007,Finland,FIN,54.6923109818679,83.168,5.67125988006592
2007,YR2007,France,FRA,69.0074998969794,77.621,..
2007,YR2007,Germany,DEU,61.9140245244144,76.378,4.36679983139038
2007,YR2007,Greece,GRC,67.1773280095082,75.199,..
2007,YR2007,Hungary,HUN,55.8411618011419,67.421,5.13345003128052
2007,YR2007,Iceland,ISL,62.7123545624617,93.278,6.9443302154541
2007,YR2007,Ireland,IRL,59.2648667781983,60.94,4.71541023254395
2007,YR2007,Israel,ISR,65.9369490143644,91.641,5.49595022201538
2007,YR2007,Italy,ITA,64.1064395366029,67.974,4.10503005981445
2007,YR2007,Japan,JPN,69.5604171252242,88.146,3.27934002876282
2007,YR2007,"Korea, Rep.",KOR,55.0786933394466,81.631,..
2007,YR2007,Latvia,LVA,64.025572594869,67.9,4.63328981399536
2007,YR2007,Lithuania,LTU,56.689979142207,66.777,4.59521007537842
2007,YR2007,Luxembourg,LUX,74.5781635960329,87.409,..
2007,YR2007,Netherlands,NLD,66.2609622559232,84.539,4.88682985305786
2007,YR2007,New Zealand,NZL,63.4044559202456,86.34,5.91965007781982
2007,YR2007,Norway,NOR,50.3212316710302,78.234,6.53439998626709
2007,YR2007,Poland,POL,55.5659414504997,61.229,4.86874008178711
2007,YR2007,Portugal,PRT,63.5609450035676,58.749,4.92147016525269
2007,YR2007,Slovak Republic,SVK,53.7165871120963,55.261,3.52321004867554
2007,YR2007,Slovenia,SVN,54.9131656714981,51.983,5.11661005020142
2007,YR2007,Spain,ESP,61.2988464388553,77.74,4.25404977798462
