id,h,DeltaT,lambda,R2
35,30,15,4.975255,0.100057
35,30,60,3.834606,0.05050872
35,60,1,5.746547,0.1326388
35,60,15,4.646416,0.1017267
35,60,60,3.397022,0.06043447
36,1,1,4.591285,0.06093089
36,1,15,4.560889,0.008398553
36,1,60,5.074053,0.002887744
36,5,1,5.65274,0.1117908
36,5,15,5.938414,0.0587312
36,5,60,5.073297,0.01499331
36,30,1,5.722556,0.1220845
36,30,15,5.105458,0.09777203
36,30,60,3.513157,0.03712576
36,60,1,5.687692,0.1220952
36,60,15,4.694315,0.09535741
36,60,60,2.935786,0.03821864
37,1,1,4.409964,0.06371185
37,1,15,3.86936,0.007029109
37,1,60,5.088471,0.003758498
37,5,1,5.553559,0.1210891
37,5,15,5.096172,0.05351835
37,5,60,4.85294,0.01960143
37,30,1,5.638747,0.1334028
37,30,15,4.563218,0.1004895
37,30,60,3.527141,0.05655433
37,60,1,5.603357,0.133526
37,60,15,4.247232,0.1006128
37,60,60,3.119834,0.06303867
38,1,1,4.543299,0.0639219
38,1,15,4.395712,0.008290684
38,1,60,4.688195,0.002999226
38,5,1,5.482138,0.1126863
38,5,15,5.002207,0.04515303
38,5,60,4.469437,0.01490897
38,30,1,5.526083,0.1221294
38,30,15,4.448215,0.08292473
38,30,60,3.388052,0.04841762
38,60,1,5.492183,0.1222277
38,60,15,4.147587,0.08411548
38,60,60,2.991682,0.05573146
39,1,1,4.083964,0.05889015
39,1,15,3.517086,0.005944356
39,1,60,4.508803,0.002806335
39,5,1,5.081126,0.1091007
39,5,15,4.739999,0.04335018
39,5,60,5.053116,0.01740357
39,30,1,5.202039,0.1205442
39,30,15,4.399325,0.08182005
39,30,60,3.86725,0.05567745
39,60,1,5.186092,0.1210375
39,60,15,4.119235,0.08307215
39,60,60,3.296421,0.06123924
40,1,1,4.621207,0.0661368
40,1,15,4.394286,0.008195678
40,1,60,6.628082,0.005445639
40,5,1,5.717848,0.1200496
40,5,15,5.485212,0.05186671
40,5,60,6.583133,0.02739488
40,30,1,5.845753,0.1319145
40,30,15,4.883155,0.09343239
40,30,60,4.158243,0.06205124
40,60,1,5.817777,0.1320887
40,60,15,4.454622,0.09113598
40,60,60,3.36418,0.06149577
41,1,1,4.236154,0.05848699
41,1,15,3.698881,0.006327766
41,1,60,4.253025,0.002433676
41,5,1,5.255,0.1072467
41,5,15,4.841244,0.04320161
41,5,60,4.559749,0.01415095
41,30,1,5.372117,0.1180952
41,30,15,4.442168,0.08203324
41,30,60,3.521508,0.04756331
41,60,1,5.350164,0.1184131
41,60,15,4.123715,0.08223814
41,60,60,3.041856,0.05366321
42,1,1,4.166401,0.05816278
42,1,15,3.463484,0.005146263
42,1,60,3.771976,0.001862447
42,5,1,5.293861,0.1117404
42,5,15,5.130999,0.04463567
42,5,60,4.421957,0.01250313
42,30,1,5.455764,0.1247857
42,30,15,4.864312,0.08718357
42,30,60,3.394163,0.04010012
42,60,1,5.44077,0.1253494
42,60,15,4.540095,0.0877944
42,60,60,2.986433,0.04596162
43,1,1,4.487788,0.06195815
43,1,15,4.496175,0.008223968
43,1,60,5.511552,0.00377504
43,5,1,5.628085,0.1162144
43,5,15,5.643519,0.05346352
43,5,60,5.528356,0.01986506
43,30,1,5.748049,0.1281286
43,30,15,4.925427,0.09227027
43,30,60,3.776946,0.05194616
43,60,1,5.722099,0.1283988
43,60,15,4.52758,0.09076892
43,60,60,3.179248,0.05471935
44,1,1,4.319821,0.05698782
44,1,15,3.826905,0.006204201
44,1,60,4.672773,0.002432374
44,5,1,5.382303,0.1061632
44,5,15,4.932287,0.04247063
44,5,60,4.729534,0.01351093
44,30,1,5.492942,0.117062
44,30,15,4.577517,0.08576525
44,30,60,3.722214,0.04779034
44,60,1,5.468836,0.1175184
44,60,15,4.319402,0.08972042
44,60,60,3.498344,0.06204199
45,1,1,4.767856,0.06628235
45,1,15,3.130688,0.003814264
45,1,60,4.991068,0.003095457
45,5,1,6.002262,0.1256754
45,5,15,4.993526,0.03970639
45,5,60,5.266214,0.01770725
45,30,1,6.159824,0.139867
45,30,15,4.670262,0.07880423
45,30,60,3.101974,0.03434797
45,60,1,6.13718,0.1403262
45,60,15,4.315143,0.07798782
45,60,60,2.531534,0.03379481
46,1,1,4.864727,0.06297397
46,1,15,3.755571,0.004992026
46,1,60,3.571963,0.001326687
46,5,1,6.090387,0.1181665
46,5,15,5.231932,0.03896148
46,5,60,4.223304,0.009311759
46,30,1,6.217269,0.1303332
46,30,15,4.998858,0.08001212
46,30,60,4.039902,0.048219
46,60,1,6.200441,0.1311795
46,60,15,4.801516,0.08688271
46,60,60,3.96511,0.07172589
47,1,1,4.103167,0.05645806
47,1,15,4.354763,0.008632307
47,1,60,5.551455,0.004424897
47,5,1,5.124365,0.1067501
47,5,15,5.549064,0.05497232
47,5,60,5.838686,0.02394127
47,30,1,5.212881,0.1176084
47,30,15,4.934426,0.09686867
47,30,60,3.772412,0.05512178
47,60,1,5.185257,0.1178659
47,60,15,4.546119,0.09677308
47,60,60,3.216651,0.06185892
48,1,1,4.669762,0.06529954
48,1,15,4.164062,0.006716658
48,1,60,7.875107,0.006682064
48,5,1,5.758982,0.1193963
48,5,15,5.523359,0.04972243
48,5,60,7.711015,0.03453208
48,30,1,5.897429,0.1324931
48,30,15,5.23502,0.1043365
48,30,60,5.180357,0.09167561
48,60,1,5.87064,0.1329336
48,60,15,4.805012,0.103965
48,60,60,4.0964,0.08911456
49,1,1,4.550843,0.06664486
49,1,15,3.887474,0.00683786
49,1,60,3.268716,0.001367744
49,5,1,5.708699,0.1241872
49,5,15,5.143457,0.04892884
49,5,60,3.853068,0.009477812
49,30,1,5.852946,0.1376402
49,30,15,4.745557,0.09311918
49,30,60,3.089692,0.03454442
49,60,1,5.836399,0.1382643
49,60,15,4.441377,0.09449013
49,60,60,2.720111,0.04065414
50,1,1,4.397352,0.06035393
50,1,15,3.151468,0.004274208
50,1,60,4.555391,0.002693413
50,5,1,5.555816,0.1147929
50,5,15,4.75374,0.03943561
50,5,60,4.92946,0.01599468
50,30,1,5.703787,0.1276294
50,30,15,4.553045,0.08075106
50,30,60,3.613775,0.0470613
50,60,1,5.683651,0.1281742
50,60,15,4.272343,0.0827388
50,60,60,3.237338,0.05521012
51,1,1,4.40883,0.06097063
51,1,15,3.597442,0.00595178
51,1,60,3.967014,0.002059359
51,5,1,5.479539,0.1130096
51,5,15,4.542427,0.04003466
51,5,60,4.368522,0.01305168
51,30,1,5.618956,0.125275
51,30,15,4.246823,0.07793308
51,30,60,3.372158,0.04336104
51,60,1,5.60201,0.1257989
51,60,15,3.969072,0.07877637
51,60,60,2.925735,0.04900434
52,1,1,4.368123,0.06130345
52,1,15,2.823307,0.003548157
52,1,60,3.063542,0.001314426
52,5,1,5.357032,0.111205
52,5,15,4.3045,0.03324595
52,5,60,3.41958,0.008380923
52,30,1,5.438426,0.1221905
52,30,15,4.379061,0.07641803
52,30,60,3.123652,0.03707635
52,60,1,5.415058,0.1226661
52,60,15,4.18361,0.08048207
52,60,60,2.940505,0.04756259
53,1,1,4.695664,0.06604259
53,1,15,4.057879,0.006752739
53,1,60,6.634079,0.005328296
53,5,1,5.850897,0.1211476
53,5,15,5.579737,0.05185219
53,5,60,6.660497,0.02747061
53,30,1,5.998061,0.1339834
53,30,15,4.954939,0.09239865
53,30,60,4.25462,0.06387183
53,60,1,5.970292,0.1342687
53,60,15,4.531296,0.09057961
53,60,60,3.576249,0.06849871
54,1,1,4.714385,0.06460689
54,1,15,4.229297,0.006604844
54,1,60,6.281064,0.004334976
54,5,1,5.897963,0.1203456
54,5,15,5.755568,0.0497578
54,5,60,6.369531,0.0227417
54,30,1,6.048733,0.1335665
54,30,15,5.372787,0.09791169
54,30,60,4.482501,0.06139211
54,60,1,6.02581,0.1340608
54,60,15,5.004124,0.0989029
54,60,60,3.971427,0.0716215
55,1,1,4.4216,0.06083572
55,1,15,3.628189,0.005903131
55,1,60,3.774088,0.001802833
55,5,1,5.529757,0.1140451
55,5,15,4.824446,0.04381117
55,5,60,4.217545,0.01188396
55,30,1,5.669775,0.1268479
55,30,15,4.450632,0.08439104
55,30,60,3.383898,0.04255932
55,60,1,5.652038,0.1274762
55,60,15,4.174372,0.08609697
55,60,60,3.034363,0.05132057
56,1,1,4.35665,0.06374107
56,1,15,3.439057,0.005891945
56,1,60,4.537575,0.003112671
56,5,1,5.39469,0.1176452
56,5,15,4.47179,0.04185437
56,5,60,4.954989,0.01977375
56,30,1,5.524377,0.1307237
56,30,15,4.451363,0.09217641
56,30,60,4.012687,0.07137869
56,60,1,5.511349,0.1315141
56,60,15,4.254285,0.09682889
56,60,60,3.622809,0.0848302
57,1,1,5.128608,0.06557182
57,1,15,4.374147,0.006285397
57,1,60,8.067961,0.005774862
57,5,1,6.404872,0.1228655
57,5,15,6.108512,0.05228669
57,5,60,8.102065,0.03029243
57,30,1,6.59556,0.1372856
57,30,15,5.95504,0.1112446
57,30,60,5.29692,0.07320228
57,60,1,6.575841,0.1379129
57,60,15,5.53328,0.1117641
57,60,60,4.327135,0.0753558
58,1,1,4.29155,0.05923786
58,1,15,4.045975,0.007303894
58,1,60,4.548984,0.002671333
58,5,1,5.294888,0.1079537
58,5,15,5.123643,0.04650173
58,5,60,4.781772,0.01477553
58,30,1,5.406981,0.1185681
58,30,15,4.483986,0.07800978
58,30,60,3.299752,0.03876839
58,60,1,5.385677,0.1188727
58,60,15,4.138806,0.0772522
58,60,60,2.842961,0.04347875
59,1,1,3.991323,0.05428026
59,1,15,2.900126,0.00398703
59,1,60,3.620147,0.001896669
59,5,1,5.02831,0.1030122
59,5,15,4.156995,0.03310457
59,5,60,4.129826,0.01248567
59,30,1,5.148741,0.1142354
59,30,15,4.010969,0.06783781
59,30,60,2.977761,0.03455331
59,60,1,5.128776,0.1145723
59,60,15,3.721836,0.06729546
59,60,60,2.435391,0.0340563
60,1,1,4.558171,0.0605582
60,1,15,3.853786,0.006128602
60,1,60,4.634515,0.002899847
60,5,1,5.739894,0.1143177
60,5,15,4.655507,0.03764657
60,5,60,4.738085,0.01667765
60,30,1,5.871693,0.126132
60,30,15,4.166792,0.06997266
60,30,60,3.259374,0.04819
60,60,1,5.845953,0.126479
60,60,15,3.854971,0.07033094
60,60,60,2.66017,0.04881068
61,1,1,4.669788,0.06259425
61,1,15,3.921662,0.005540715
61,1,60,5.548687,0.003195391
